monkey-KM-E-k7-Run27.clu	DEV 	cluster 4 	(702 objects):	1796.32
monkey-KM-E-k7-Run27.clu	DEV 	cluster 6 	(304 objects):	1116.48
monkey-KM-E-k7-Run27.clu	DEV 	cluster 3 	(514 objects):	2033.18
monkey-KM-E-k7-Run27.clu	DEV 	cluster 7 	(489 objects):	1865.32
monkey-KM-E-k7-Run27.clu	VAR 	cluster 1 	(730 objects):	1.84986
monkey-KM-E-k7-Run27.clu	VAR 	cluster 2 	(651 objects):	1.56116
monkey-KM-E-k7-Run27.clu	VAR 	cluster 5 	(610 objects):	1.79876
monkey-KM-E-k7-Run27.clu	VAR 	cluster 4 	(702 objects):	1.59964
monkey-KM-E-k7-Run27.clu	VAR 	cluster 6 	(304 objects):	1.91641
monkey-KM-E-k7-Run27.clu	VAR 	cluster 3 	(514 objects):	1.98887
monkey-KM-E-k7-Run27.clu	VAR 	cluster 7 	(489 objects):	1.95309
monkey-KM-E-k7-Run27.clu	SIL 	cluster 1 	(730 objects):	0.790456
monkey-KM-E-k7-Run27.clu	SIL 	cluster 2 	(651 objects):	0.835722
monkey-KM-E-k7-Run27.clu	SIL 	cluster 5 	(610 objects):	0.81388
monkey-KM-E-k7-Run27.clu	SIL 	cluster 4 	(702 objects):	0.830414
monkey-KM-E-k7-Run27.clu	SIL 	cluster 6 	(304 objects):	0.80132
monkey-KM-E-k7-Run27.clu	SIL 	cluster 3 	(514 objects):	0.836821
monkey-KM-E-k7-Run27.clu	SIL 	cluster 7 	(489 objects):	0.843357
monkey-KM-E-k8-Run20.clu	CON 	cluster 3 	(518 objects):	153.354
monkey-KM-E-k8-Run20.clu	CON 	cluster 6 	(659 objects):	108.089
monkey-KM-E-k8-Run20.clu	CON 	cluster 2 	(418 objects):	143.644
monkey-KM-E-k8-Run20.clu	CON 	cluster 4 	(465 objects):	118.122
monkey-KM-E-k8-Run20.clu	CON 	cluster 7 	(673 objects):	113.952
monkey-KM-E-k8-Run20.clu	CON 	cluster 5 	(281 objects):	80.6456
monkey-KM-E-k8-Run20.clu	CON 	cluster 1 	(486 objects):	17.7332
monkey-KM-E-k8-Run20.clu	CON 	cluster 8 	(500 objects):	44.9199
monkey-KM-E-k8-Run20.clu	DEV 	cluster 3 	(518 objects):	1133.6
monkey-KM-E-k8-Run20.clu	DEV 	cluster 6 	(659 objects):	1614.58
monkey-KM-E-k8-Run20.clu	DEV 	cluster 2 	(418 objects):	1326.69
monkey-KM-E-k8-Run20.clu	DEV 	cluster 4 	(465 objects):	1335.29
monkey-KM-E-k8-Run20.clu	DEV 	cluster 7 	(673 objects):	1675.72
monkey-KM-E-k8-Run20.clu	DEV 	cluster 5 	(281 objects):	944.405
monkey-KM-E-k8-Run20.clu	DEV 	cluster 1 	(486 objects):	1846.17
monkey-KM-E-k8-Run20.clu	DEV 	cluster 8 	(500 objects):	1937.17
monkey-KM-E-k8-Run20.clu	VAR 	cluster 3 	(518 objects):	1.47933
monkey-KM-E-k8-Run20.clu	VAR 	cluster 6 	(659 objects):	1.56526
monkey-KM-E-k8-Run20.clu	VAR 	cluster 2 	(418 objects):	1.78154
monkey-KM-E-k8-Run20.clu	VAR 	cluster 4 	(465 objects):	1.69458
monkey-KM-E-k8-Run20.clu	VAR 	cluster 7 	(673 objects):	1.57795
monkey-KM-E-k8-Run20.clu	VAR 	cluster 5 	(281 objects):	1.83327
monkey-KM-E-k8-Run20.clu	VAR 	cluster 1 	(486 objects):	1.94903
monkey-KM-E-k8-Run20.clu	VAR 	cluster 8 	(500 objects):	1.96833
monkey-KM-E-k8-Run20.clu	SIL 	cluster 3 	(518 objects):	0.846962
monkey-KM-E-k8-Run20.clu	SIL 	cluster 6 	(659 objects):	0.835433
monkey-KM-E-k8-Run20.clu	SIL 	cluster 2 	(418 objects):	0.830132
monkey-KM-E-k8-Run20.clu	SIL 	cluster 4 	(465 objects):	0.845534
monkey-KM-E-k8-Run20.clu	SIL 	cluster 7 	(673 objects):	0.837948
monkey-KM-E-k8-Run20.clu	SIL 	cluster 5 	(281 objects):	0.816641
monkey-KM-E-k8-Run20.clu	SIL 	cluster 1 	(486 objects):	0.844988
monkey-KM-E-k8-Run20.clu	SIL 	cluster 8 	(500 objects):	0.841641
monkey-KM-E-k3-Run28.clu	CON 	cluster 1 	(2567 objects):	271.763
monkey-KM-E-k3-Run28.clu	CON 	cluster 3 	(839 objects):	275.189
monkey-KM-E-k3-Run28.clu	CON 	cluster 2 	(594 objects):	84.2468
monkey-KM-E-k3-Run28.clu	DEV 	cluster 1 	(2567 objects):	15558.6
monkey-KM-E-k3-Run28.clu	DEV 	cluster 3 	(839 objects):	5086.5
monkey-KM-E-k3-Run28.clu	DEV 	cluster 2 	(594 objects):	2707.21
monkey-KM-E-k3-Run28.clu	VAR 	cluster 1 	(2567 objects):	2.46191
monkey-KM-E-k3-Run28.clu	VAR 	cluster 3 	(839 objects):	2.46223
monkey-KM-E-k3-Run28.clu	VAR 	cluster 2 	(594 objects):	2.13485
monkey-KM-E-k3-Run28.clu	SIL 	cluster 1 	(2567 objects):	0.573959
monkey-KM-E-k3-Run28.clu	SIL 	cluster 3 	(839 objects):	0.698557
monkey-KM-E-k3-Run28.clu	SIL 	cluster 2 	(594 objects):	0.774833
monkey-SL-E-k3.clu	CON 	cluster 1 	(1000 objects):	19.5466
monkey-SL-E-k3.clu	CON 	cluster 2 	(2500 objects):	196.273
monkey-SL-E-k3.clu	CON 	cluster 3 	(500 objects):	51.1495
monkey-SL-E-k3.clu	DEV 	cluster 1 	(1000 objects):	3659.34
monkey-SL-E-k3.clu	DEV 	cluster 2 	(2500 objects):	26737
monkey-SL-E-k3.clu	DEV 	cluster 3 	(500 objects):	3090.2
monkey-SL-E-k3.clu	VAR 	cluster 1 	(1000 objects):	1.91294
monkey-SL-E-k3.clu	VAR 	cluster 2 	(2500 objects):	3.27029
monkey-SL-E-k3.clu	VAR 	cluster 3 	(500 objects):	2.48604
monkey-SL-E-k3.clu	SIL 	cluster 1 	(1000 objects):	0.601665
monkey-SL-E-k3.clu	SIL 	cluster 2 	(2500 objects):	0.0481452
monkey-SL-E-k3.clu	SIL 	cluster 3 	(500 objects):	0.490587
monkey-KM-E-k13-Run18.clu	CON 	cluster 1 	(517 objects):	79.2515
monkey-KM-E-k13-Run18.clu	CON 	cluster 12 	(472 objects):	96.2083
monkey-KM-E-k13-Run18.clu	CON 	cluster 2 	(461 objects):	90.0492
monkey-KM-E-k13-Run18.clu	CON 	cluster 11 	(404 objects):	127.102
monkey-KM-E-k13-Run18.clu	CON 	cluster 10 	(358 objects):	86.9024
monkey-KM-E-k13-Run18.clu	CON 	cluster 4 	(283 objects):	81.1797
monkey-KM-E-k13-Run18.clu	CON 	cluster 6 	(241 objects):	67.8635
monkey-KM-E-k13-Run18.clu	CON 	cluster 13 	(238 objects):	52.2572
monkey-KM-E-k13-Run18.clu	CON 	cluster 9 	(200 objects):	117.222
monkey-KM-E-k13-Run18.clu	CON 	cluster 7 	(222 objects):	90.7373
monkey-KM-E-k13-Run18.clu	CON 	cluster 3 	(260 objects):	89.0614
monkey-KM-E-k13-Run18.clu	CON 	cluster 5 	(212 objects):	58.4625
monkey-KM-E-k13-Run18.clu	CON 	cluster 8 	(132 objects):	54.6606
monkey-KM-E-k13-Run18.clu	DEV 	cluster 1 	(517 objects):	1183.72
monkey-KM-E-k13-Run18.clu	DEV 	cluster 12 	(472 objects):	933.456
monkey-KM-E-k13-Run18.clu	DEV 	cluster 2 	(461 objects):	1025.4
monkey-KM-E-k13-Run18.clu	DEV 	cluster 11 	(404 objects):	807.441
monkey-KM-E-k13-Run18.clu	DEV 	cluster 10 	(358 objects):	621.951
monkey-KM-E-k13-Run18.clu	DEV 	cluster 4 	(283 objects):	900.23
monkey-KM-E-k13-Run18.clu	DEV 	cluster 6 	(241 objects):	701.933
monkey-KM-E-k13-Run18.clu	DEV 	cluster 13 	(238 objects):	581.012
monkey-KM-E-k13-Run18.clu	DEV 	cluster 9 	(200 objects):	553.238
monkey-KM-E-k13-Run18.clu	DEV 	cluster 7 	(222 objects):	699.032
monkey-KM-E-k13-Run18.clu	DEV 	cluster 3 	(260 objects):	725.279
monkey-KM-E-k13-Run18.clu	DEV 	cluster 5 	(212 objects):	512.846
monkey-KM-E-k13-Run18.clu	DEV 	cluster 8 	(132 objects):	315.843
monkey-KM-E-k13-Run18.clu	VAR 	cluster 1 	(517 objects):	1.51314
